Region name ,Local authority name,StudentRate,vacantrooms,housingcompletion,homelessness,median housing price,unaffordability,HousingStock,NewAffordable,VacancyRate,NARate
Yorkshire and The Humber,Bradford,0.227707715,7289,650,3.34,188423,8.1,217892,149,0.033452353,0.000683825
East of England,Braintree,0.167265631,1987,830,1.93,353360,12.2,67342,279,0.029506103,0.004143031
East of England,Breckland,0.150719208,1524,580,2.85,287572,8.61,62845,292,0.024250139,0.004646352
London,Brent,0.218050357,3204,310,4.7,673807,13.72,125285,661,0.025573692,0.005275971
East of England,Brentwood,0.167547082,1174,110,1.3,560795,14.43,33925,34,0.034605748,0.001002211
South East,Brighton and Hove,0.226248002,5009,180,2.28,466261,15.05,129321,218,0.038733075,0.001685728
South West,"Bristol, City of",0.230355688,4914,690,3.68,365659,7.07,203561,339,0.024140184,0.001665348
East of England,Broadland,0.151350202,1083,640,1.3,319147,10.49,60024,143,0.018042783,0.00238238
London,Bromley,0.184159568,3646,350,1.45,569185,8.42,140441,27,0.02596108,0.000192252
West Midlands,Bromsgrove,0.172862285,1057,120,2.09,356393,11.07,42059,36,0.025131363,0.00085594
East of England,Broxbourne,0.182855758,648,180,2.58,430056,19.2,41368,79,0.015664282,0.001909689
East Midlands,Broxtowe,0.182873625,1377,170,1.57,242477,9.75,50459,4,0.027289483,7.93E-05
South East,Buckinghamshire,0.188986002,5581,2310,2.3,557171,12.11,230039,769,0.024261104,0.003342911
North West,Burnley,0.194070537,1867,170,4.16,135137,7.46,41479,105,0.045010728,0.002531401
North West,Bury,0.194113004,2496,280,2.71,236921,10.19,84508,150,0.029535665,0.00177498
Yorkshire and The Humber,Calderdale,0.184677033,3190,290,1.73,189647,,96096,103,0.033195971,0.001071845
East of England,Cambridge,0.317180828,1451,500,3.41,549586,11.32,56091,164,0.025868678,0.00292382
London,Camden,0.234134085,4498,40,1.55,1234901,33.67,107092,157,0.04200127,0.001466029
West Midlands,Cannock Chase,0.16074573,1078,590,1.05,216458,9.21,45012,291,0.023949169,0.006464943
South East,Canterbury,0.246663575,2307,370,,375670,13.82,69135,92,0.033369494,0.00133073
North West,Carlisle,0.163873337,1683,490,2.8,169697,5.57,54758,181,0.030735235,0.003305453
East of England,Castle Point,0.156451271,976,90,1.2,366268,,39073,0,0.024978886,0
East of England,Central Bedfordshire,0.176352242,3083,2320,1.98,362042,10.62,126104,922,0.024448075,0.007311425
East Midlands,Charnwood,0.231873502,1689,500,1.09,275511,8.94,77466,80,0.021803114,0.001032711
East of England,Chelmsford,0.17796092,1636,610,3.08,422663,9.71,78724,173,0.020781464,0.002197551
South West,Cheltenham,0.185558248,1751,150,2.11,364877,7.78,56943,113,0.030750048,0.001984441
South East,Cherwell,0.16913226,1497,920,1.54,363819,11.3,68826,261,0.021750501,0.003792172
North West,Cheshire East,0.16358972,4567,1540,2.24,316953,8.43,183571,679,0.024878657,0.003698841
North West,Cheshire West and Chester,0.175662887,3819,1120,3.29,273317,9.86,163258,426,0.023392422,0.002609367
East Midlands,Chesterfield,0.157325068,1636,370,2.83,205533,12.65,50274,100,0.032541672,0.0019891
South East,Chichester,0.167564038,898,590,1.5,534065,12.74,58695,157,0.015299429,0.002674845
North West,Chorley,0.168917542,1308,230,2.3,217264,6.07,52563,83,0.024884424,0.001579058
London,City of London,0.135516197,351,,1.39,896820,,7305,2,0.048049281,0.000273785
East of England,Colchester,0.209741695,1913,480,1.87,326107,10.01,83268,121,0.022974012,0.001453139
North West,Copeland,0.149636234,1035,110,2.31,156509,5.93,33705,2,0.03070761,5.93E-05
South West,Cornwall,0.165860373,6646,2210,2.94,331561,9.9,286175,776,0.023223552,0.002711628
South West,Cotswold,0.156145411,1735,300,1.35,502704,13.87,45628,96,0.038024897,0.002103971
North East,County Durham,0.189210984,8991,1670,4.13,148851,7.78,246445,532,0.036482785,0.002158697
West Midlands,Coventry,0.257969327,4355,570,1.2,227383,8.25,144939,173,0.030047123,0.001193606
Yorkshire and The Humber,Craven,0.144395454,811,290,3.16,275353,12.22,28999,169,0.027966482,0.005827787
South East,Crawley,0.192332036,753,270,4.16,329115,7.81,47179,292,0.015960491,0.006189194
London,Croydon,0.20341473,3682,1180,2.42,438084,10.48,164746,814,0.022349556,0.004940939
East of England,Dacorum,0.181763079,1654,780,5.96,495875,9.1,66990,235,0.024690252,0.003507986
North East,Darlington,0.174516006,1763,410,2.53,173195,14.5,52397,76,0.033646965,0.001450465
South East,Dartford,0.196272568,931,400,6.02,364486,10.84,48455,248,0.019213703,0.005118151
East Midlands,Derby,0.213116573,3091,560,1.83,207248,9.96,111766,158,0.027655996,0.001413668
East Midlands,Derbyshire Dales,0.14566676,1246,270,3.29,351294,11.46,35999,56,0.034612073,0.001555599
Yorkshire and The Humber,Doncaster,0.168980805,4053,710,1.92,173254,6.89,139758,299,0.029000129,0.002139412
South West,Dorset,0.147821666,3993,1230,2.79,376686,13.17,183455,196,0.021765556,0.001068382
South East,Dover,0.164685165,1648,510,3.07,325344,11.51,55439,126,0.029726366,0.002272768
West Midlands,Dudley,0.178006603,3661,350,2.76,222263,8.4,140519,150,0.026053416,0.001067471
London,Ealing,0.213355488,3228,980,5.63,656441,15.81,138794,786,0.02325749,0.005663069
East of England,East Cambridgeshire,0.170529386,1156,660,2.61,344961,9.47,38710,151,0.029863084,0.003900801
South West,East Devon,0.145576418,1781,900,2.21,365464,9.45,72105,260,0.02470009,0.003605853
South East,East Hampshire,0.167143834,1269,520,1.48,493019,16.65,54804,87,0.023155244,0.001587475
East of England,East Hertfordshire,0.180143582,1303,490,1.79,491546,10.7,64771,112,0.020117028,0.001729169
East Midlands,East Lindsey,0.138753022,2419,510,2.13,229196,7.13,69034,87,0.035040705,0.001260249
Yorkshire and The Humber,East Riding of Yorkshire,0.153488304,4348,1680,1.78,229796,7,163065,410,0.026664214,0.002514335
West Midlands,East Staffordshire,0.1774083,1416,770,1.4,235330,8.29,54083.64211,83,0.026181669,0.00153466
East of England,East Suffolk,0.15252095,3272,510,2.46,320901,8.89,119573,260,0.027364037,0.002174404
South East,Eastbourne,0.171411713,1697,40,,302143,8.28,49355,53,0.034383548,0.001073853
South East,Eastleigh,0.173750211,981,590,1.08,345381,12.17,59745,158,0.016419784,0.002644573
North West,Eden,0.141468584,1083,220,1.59,258766,8.57,27453,113,0.039449241,0.004116126
South East,Elmbridge,0.200938351,1282,350,1.8,950218,12.18,58548,1,0.021896564,1.71E-05
London,Enfield,0.226210968,2956,380,,531787,17.15,127472,400,0.023189406,0.003137944
East of England,Epping Forest,0.171761324,1478,130,2.27,611183,17.66,57186,44,0.025845487,0.000769419
South East,Epsom and Ewell,0.198448195,723,90,1.23,581145,9.77,32880,11,0.021989051,0.00033455
East Midlands,Erewash,0.159885214,1655,150,1.61,218075,7.5,52840,64,0.031320969,0.001211204
South West,Exeter,0.27369613,1575,510,4.62,311112,9.86,57096,104,0.02758512,0.001821494
South East,Fareham,0.156715831,1292,90,1.5,368520,,50602,66,0.025532588,0.001304296
East of England,Fenland,0.154042105,1103,270,2.71,239032,8.16,45998,116,0.023979303,0.002521849
South East,Folkestone and Hythe,0.156972612,1849,310,2.3,338186,8.89,53217,,0.034744537,0
South West,Forest of Dean,0.159682313,1206,490,1.76,303389,6.42,39144,227,0.030809319,0.005799101
North West,Fylde,0.147037137,1562,440,1.99,242908,7.21,40746,78,0.038335051,0.001914298
North East,Gateshead,0.173239867,3182,380,4.05,163785,6.46,94950,192,0.033512375,0.002022117
East Midlands,Gedling,0.167256509,1357,270,1.71,245960,9.39,53563,29,0.025334653,0.000541419
South West,Gloucester,0.18996949,1567,420,5.42,237600,8.75,57783,147,0.027118703,0.002544001
South East,Gosport,0.165877587,836,10,3.45,250305,,38118,1,0.021931896,2.62E-05
South East,Gravesham,0.192797007,833,410,3.96,364571,11.53,43973,185,0.018943443,0.004207127
East of England,Great Yarmouth,0.160577868,1442,290,,223225,8.63,46841,76,0.030784996,0.00162251
London,Greenwich,0.21165954,2549,860,4,504019,15.81,118492,543,0.021512001,0.004582588
South East,Guildford,0.237591368,1929,540,1.71,624158,13.46,59705,55,0.032308852,0.000921196
London,Hackney,0.205748883,2369,670,5.17,727507,20.19,113173.6019,310,0.020932443,0.002739155
